device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps
  [diagnostics @ 6000] loss_correct=0.0829  loss_zero=0.0877  loss_shuffled=0.0964  loss_random=0.0883  loss_target_only=0.0830  loss_mean_z=0.0871  r_basis=0.0444  |dz_transport|=1.3344  z_s_vs_enc_rel=3.5995  z_spread_rel=1.1315  gain_vs_zero=0.0049  gain_vs_shuffled=0.0136  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0042  delta_task=0.0042  z_center_norm=0.0949  task_specific_frac=0.8617
  saved /opt/ml/code/checkpoints/film128_step6000.pt
step   6050  L=0.3144  src=0.0465  tgt=0.1339  trans=0.1340  gain=-0.0001  |dz|=0.977  3.6 it/s
step   6100  L=0.3217  src=0.0779  tgt=0.1219  trans=0.1219  gain=+0.0000  |dz|=0.992  3.6 it/s
step   6150  L=0.1428  src=0.0567  tgt=0.0432  trans=0.0429  gain=+0.0004  |dz|=1.429  3.6 it/s
step   6200  L=0.0879  src=0.0422  tgt=0.0228  trans=0.0228  gain=+0.0000  |dz|=1.517  3.6 it/s
step   6250  L=0.4143  src=0.0778  tgt=0.1682  trans=0.1682  gain=-0.0000  |dz|=1.069  3.6 it/s
step   6300  L=0.0983  src=0.0471  tgt=0.0256  trans=0.0256  gain=-0.0000  |dz|=1.426  3.6 it/s
step   6350  L=0.4316  src=0.0816  tgt=0.1750  trans=0.1749  gain=+0.0000  |dz|=1.011  3.6 it/s
step   6400  L=0.1122  src=0.0772  tgt=0.0175  trans=0.0174  gain=+0.0000  |dz|=1.242  3.6 it/s
step   6450  L=0.2111  src=0.0960  tgt=0.0575  trans=0.0575  gain=+0.0000  |dz|=1.213  3.6 it/s
step   6500  L=0.2639  src=0.0510  tgt=0.1064  trans=0.1064  gain=-0.0000  |dz|=0.955  3.6 it/s
  [diagnostics @ 6500] loss_correct=0.0790  loss_zero=0.0835  loss_shuffled=0.0898  loss_random=0.0840  loss_target_only=0.0792  loss_mean_z=0.0830  r_basis=0.0431  |dz_transport|=1.2744  z_s_vs_enc_rel=3.3801  z_spread_rel=1.1369  gain_vs_zero=0.0045  gain_vs_shuffled=0.0107  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0039  delta_task=0.0039  z_center_norm=0.0865  task_specific_frac=0.8849
step   6550  L=0.1735  src=0.0783  tgt=0.0475  trans=0.0476  gain=-0.0001  |dz|=1.201  3.6 it/s
step   6600  L=0.5075  src=0.0615  tgt=0.2229  trans=0.2230  gain=-0.0001  |dz|=1.359  3.6 it/s
step   6650  L=0.1091  src=0.0346  tgt=0.0371  trans=0.0372  gain=-0.0001  |dz|=1.476  3.6 it/s
step   6700  L=0.1079  src=0.0656  tgt=0.0212  trans=0.0211  gain=+0.0001  |dz|=1.172  3.6 it/s
step   6750  L=0.1060  src=0.0530  tgt=0.0265  trans=0.0264  gain=+0.0001  |dz|=1.483  3.6 it/s
step   6800  L=0.1783  src=0.1239  tgt=0.0272  trans=0.0270  gain=+0.0002  |dz|=1.419  3.6 it/s
step   6850  L=0.1150  src=0.0557  tgt=0.0296  trans=0.0297  gain=-0.0002  |dz|=1.202  3.6 it/s
step   6900  L=0.1319  src=0.0410  tgt=0.0456  trans=0.0452  gain=+0.0004  |dz|=1.225  3.6 it/s
step   6950  L=0.1410  src=0.0710  tgt=0.0350  trans=0.0350  gain=+0.0000  |dz|=1.422  3.6 it/s
step   7000  L=0.1495  src=0.0513  tgt=0.0492  trans=0.0489  gain=+0.0002  |dz|=1.518  3.6 it/s
  [diagnostics @ 7000] loss_correct=0.0624  loss_zero=0.0662  loss_shuffled=0.0674  loss_random=0.0665  loss_target_only=0.0625  loss_mean_z=0.0659  r_basis=0.0413  |dz_transport|=1.3076  z_s_vs_enc_rel=3.3176  z_spread_rel=1.0901  gain_vs_zero=0.0037  gain_vs_shuffled=0.0050  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0035  delta_task=0.0035  z_center_norm=0.0700  task_specific_frac=0.9280
step   7050  L=0.1432  src=0.0760  tgt=0.0336  trans=0.0336  gain=+0.0000  |dz|=1.214  3.6 it/s
step   7100  L=0.0849  src=0.0482  tgt=0.0184  trans=0.0183  gain=+0.0001  |dz|=1.204  3.6 it/s
step   7150  L=0.0991  src=0.0426  tgt=0.0282  trans=0.0281  gain=+0.0001  |dz|=1.283  3.6 it/s
step   7200  L=0.0878  src=0.0556  tgt=0.0160  trans=0.0161  gain=-0.0001  |dz|=1.262  3.6 it/s
step   7250  L=0.0997  src=0.0547  tgt=0.0226  trans=0.0224  gain=+0.0001  |dz|=1.198  3.6 it/s
step   7300  L=0.1370  src=0.0973  tgt=0.0198  trans=0.0199  gain=-0.0000  |dz|=1.151  3.6 it/s
step   7350  L=0.3813  src=0.1124  tgt=0.1343  trans=0.1344  gain=-0.0001  |dz|=1.079  3.6 it/s
step   7400  L=0.1256  src=0.0635  tgt=0.0311  trans=0.0309  gain=+0.0001  |dz|=1.479  3.6 it/s
step   7450  L=0.1098  src=0.0584  tgt=0.0260  trans=0.0253  gain=+0.0007  |dz|=1.463  3.6 it/s
step   7500  L=0.1096  src=0.0598  tgt=0.0249  trans=0.0248  gain=+0.0001  |dz|=1.488  3.6 it/s
  [diagnostics @ 7500] loss_correct=0.0785  loss_zero=0.0843  loss_shuffled=0.0895  loss_random=0.0846  loss_target_only=0.0789  loss_mean_z=0.0837  r_basis=0.0495  |dz_transport|=1.2959  z_s_vs_enc_rel=3.9262  z_spread_rel=1.0508  gain_vs_zero=0.0058  gain_vs_shuffled=0.0109  gain_vs_target_only=0.0004  gain_vs_mean_z=0.0051  delta_task=0.0051  z_center_norm=0.0792  task_specific_frac=0.8900
step   7550  L=0.1264  src=0.0423  tgt=0.0421  trans=0.0420  gain=+0.0001  |dz|=1.190  3.6 it/s
step   7600  L=0.4728  src=0.0555  tgt=0.2087  trans=0.2087  gain=-0.0000  |dz|=1.021  3.6 it/s
step   7650  L=0.1487  src=0.0855  tgt=0.0316  trans=0.0315  gain=+0.0001  |dz|=1.454  3.6 it/s
step   7700  L=0.5212  src=0.0529  tgt=0.2341  trans=0.2341  gain=-0.0000  |dz|=0.979  3.6 it/s
step   7750  L=0.1686  src=0.0893  tgt=0.0398  trans=0.0395  gain=+0.0003  |dz|=1.379  3.6 it/s
step   7800  L=0.1212  src=0.0763  tgt=0.0225  trans=0.0224  gain=+0.0001  |dz|=1.221  3.6 it/s
step   7850  L=0.1120  src=0.0686  tgt=0.0216  trans=0.0216  gain=+0.0000  |dz|=1.388  3.6 it/s
step   7900  L=0.3124  src=0.0659  tgt=0.1232  trans=0.1232  gain=+0.0001  |dz|=1.018  3.6 it/s
step   7950  L=0.1074  src=0.0585  tgt=0.0245  trans=0.0244  gain=+0.0001  |dz|=1.167  3.6 it/s
step   8000  L=0.4999  src=0.0735  tgt=0.2132  trans=0.2132  gain=+0.0000  |dz|=1.034  3.6 it/s
